iter	RMSE
0	0.4434970151
1	0.4268277103
2	0.4158399496
3	0.4032109105
4	0.3924552196
5	0.3830855555
6	0.3745946981
7	0.3701419422
8	0.3615707551
9	0.3523566536
10	0.3472737799
11	0.3403505981
12	0.3372454144
13	0.331868441
14	0.3280895104
15	0.325939338
16	0.3235457766
17	0.3172493266
18	0.315378173
19	0.3135932942
20	0.3115852421
21	0.3094164759
22	0.3075613155
23	0.3038793611
24	0.3011206881
25	0.299560411
26	0.2979291755
27	0.2941668447
28	0.2914947863
29	0.2897624471
30	0.2881738056
31	0.2827985333
32	0.2780227675
33	0.2766148305
34	0.2747961673
35	0.2707162408
36	0.2693098344
37	0.2680438879
38	0.2665862277
39	0.2656018534
40	0.2643837258
41	0.2628947743
42	0.2584864952
43	0.2574589591
44	0.2564834856
45	0.254739257
46	0.253611292
47	0.2526863745
48	0.2517292353
49	0.250733217
50	0.2498262769
51	0.2469076646
52	0.2457976943
53	0.2447991403
54	0.243739986
55	0.2411162488
56	0.2396860758
57	0.2387316515
58	0.2372057459
59	0.234755385
60	0.2335572327
61	0.2323822562
62	0.2301047037
63	0.2292968444
64	0.2282607478
65	0.226726029
66	0.2258391699
67	0.2249289134
68	0.2242569199
69	0.2233352122
70	0.2223666573
71	0.2216678185
72	0.2207170513
73	0.2200835893
74	0.2193126373
75	0.2184907449
76	0.2175795669
77	0.2166554243
78	0.2157511299
79	0.2149796718
80	0.2141325229
81	0.2133189346
82	0.2126128402
83	0.2118490862
84	0.2110633255
85	0.2101088649
86	0.2092585842
87	0.2083616452
88	0.2076636153
89	0.2065760198
90	0.205557427
91	0.2048557704
92	0.204108333
93	0.2033837131
94	0.2013578676
95	0.2005584456
96	0.1998932211
97	0.1992206466
98	0.198492925
99	0.1977962952
