iter	Passed	Remaining
0	135	13405
1	138	6800
2	141	4589
3	145	3486
4	149	2831
5	152	2388
6	155	2069
7	159	1829
8	162	1645
9	166	1494
10	169	1370
11	172	1267
12	176	1178
13	179	1105
14	183	1037
15	186	977
16	189	924
17	192	877
18	196	836
19	199	796
20	202	760
21	205	727
22	208	697
23	211	669
24	214	643
25	217	619
26	220	596
27	223	575
28	227	556
29	230	537
30	233	519
31	236	502
32	240	487
33	243	472
34	246	458
35	249	444
36	253	430
37	256	417
38	259	405
39	262	393
40	265	382
41	268	371
42	272	360
43	275	350
44	278	340
45	281	330
46	284	320
47	287	311
48	291	303
49	294	294
50	297	285
51	300	277
52	303	269
53	307	261
54	310	253
55	313	246
56	316	238
57	319	231
58	323	224
59	326	217
60	329	210
61	332	203
62	335	196
63	339	190
64	342	184
65	345	178
66	348	171
67	351	165
68	355	159
69	358	153
70	360	147
71	363	141
72	366	135
73	369	129
74	372	124
75	375	118
76	378	113
77	382	107
78	386	102
79	390	97
80	393	92
81	397	87
82	401	82
83	404	76
84	406	71
85	409	66
86	412	61
87	415	56
88	418	51
89	421	46
90	424	42
91	427	37
92	430	32
93	433	27
94	436	22
95	439	18
96	442	13
97	444	9
98	447	4
99	450	0
